Eviction ID,File Date,Neighborhoods - Analysis Boundaries
429,2005,Oceanview/Merced/Ingleside
1898,1997,Outer Richmond
708,2022,Nob Hill
204,2018,Chinatown
963,2006,Sunset/Parkside
36,2022,Twin Peaks
480,2014,Inner Sunset
104,2004,Glen Park
1105,2001,Inner Sunset
804,2008,South of Market
312,2008,Lone Mountain/USF
1079,1999,Russian Hill
996,2015,Lakeshore
21,2023,Noe Valley
156,2011,Visitacion Valley
782,2006,Noe Valley
1236,2022,South of Market
108,2010,Presidio Heights
1044,2013,Outer Richmond
168,2007,Portola
72,2008,Golden Gate Park
190,2022,Outer Mission
612,2015,North Beach
888,2015,Castro/Upper Market
144,2009,Lone Mountain/USF
1157,2000,Bayview Hunters Point
1704,2008,Mission
120,2006,Twin Peaks
276,2008,Twin Peaks
2772,2013,Mission
324,2015,Visitacion Valley
12,2020,Glen Park
1347,2010,
1976,2000,Outer Richmond
676,2003,Hayes Valley
1027,1997,Russian Hill
816,2012,Outer Richmond
288,2017,Visitacion Valley
120,2018,Twin Peaks
120,2013,Portola
1014,1999,Inner Sunset
197,2023,Bayview Hunters Point
2589,2000,
756,2016,North Beach
276,2010,Visitacion Valley
336,2007,Lone Mountain/USF
576,2018,Marina
631,2023,Tenderloin
360,2017,North Beach
1053,2000,Russian Hill
396,2009,Outer Mission
60,2018,Golden Gate Park
156,2011,Portola
91,2004,Golden Gate Park
214,2022,Haight Ashbury
910,1999,Lakeshore
910,1998,West of Twin Peaks
416,2005,Russian Hill
2925,2004,Mission
12,2007,Seacliff
1164,2013,Lakeshore
2743,2005,Mission
780,2017,Tenderloin
156,2020,Potrero Hill
564,2010,Outer Richmond
1456,1997,Lone Mountain/USF
663,2005,Noe Valley
456,2011,Castro/Upper Market
420,2011,Russian Hill
546,1998,Glen Park
48,2012,Japantown
288,2017,Portola
780,2015,Russian Hill
408,2019,Outer Mission
1236,2014,Castro/Upper Market
117,2005,Financial District/South Beach
300,2010,Pacific Heights
546,2003,Inner Richmond
12,2007,Lincoln Park
72,2010,Portola
390,2004,South of Market
871,2002,Pacific Heights
408,2019,Bayview Hunters Point
12,2022,Presidio Heights
2405,2005,Tenderloin
396,2014,Lone Mountain/USF
228,2010,Excelsior
492,2017,Noe Valley
1001,2003,Sunset/Parkside
36,2015,Seacliff
169,2005,Twin Peaks
52,2001,Presidio
4342,1998,Mission
48,2017,Golden Gate Park
624,2007,Excelsior
425,2006,South of Market
528,2009,Bayview Hunters Point
60,2008,Financial District/South Beach
1392,2014,Outer Richmond
129,1997,Japantown
45,2023,Potrero Hill
324,2018,Western Addition
741,2001,Nob Hill
1105,2000,Inner Sunset
492,2022,Bayview Hunters Point
317,2006,Lone Mountain/USF
205,2006,Lakeshore
132,2013,Glen Park
1736,2006,Tenderloin
78,1998,Golden Gate Park
429,2002,Lone Mountain/USF
221,1997,Glen Park
1183,1998,Bernal Heights
949,2001,Tenderloin
12,2020,Seacliff
420,2018,Bernal Heights
24,2007,Golden Gate Park
408,2010,Noe Valley
516,2021,Outer Richmond
432,2017,Oceanview/Merced/Ingleside
1548,2014,Sunset/Parkside
1001,1999,Pacific Heights
300,2009,Western Addition
390,2002,Oceanview/Merced/Ingleside
180,2013,Twin Peaks
520,2001,Visitacion Valley
13,2004,Japantown
3792,2019,Lakeshore
876,2015,Bernal Heights
372,2011,Outer Mission
312,2005,Potrero Hill
1352,1997,Bernal Heights
384,2011,Haight Ashbury
312,2005,Lone Mountain/USF
432,2011,Bayview Hunters Point
456,2008,Marina
65,2000,Japantown
540,2014,Oceanview/Merced/Ingleside
2185,2001,
728,2003,Outer Richmond
276,2007,Twin Peaks
564,2007,Noe Valley
988,2000,Excelsior
572,1998,South of Market
169,2004,Twin Peaks
528,2021,Bayview Hunters Point
720,2014,Marina
104,2003,Chinatown
455,2004,Inner Richmond
96,2009,Twin Peaks
52,2023,Marina
148,2006,Potrero Hill
60,2013,Golden Gate Park
180,2017,Potrero Hill
780,2016,Bernal Heights
468,2014,Haight Ashbury
1196,2005,Castro/Upper Market
180,2022,Inner Richmond
975,2004,Marina
598,1999,West of Twin Peaks
143,2003,Glen Park
6,2023,Presidio
768,2018,Outer Richmond
684,2011,Tenderloin
204,2019,Noe Valley
507,2001,Portola
949,2005,Outer Richmond
441,2006,West of Twin Peaks
792,2013,Marina
1638,2018,
39,2003,Lakeshore
84,2008,Portola
117,2002,Twin Peaks
372,2010,Oceanview/Merced/Ingleside
624,2012,Lone Mountain/USF
264,2021,Castro/Upper Market
12,2022,Seacliff
351,2005,Marina
104,2001,Financial District/South Beach
192,2022,Portola
144,2007,Presidio Heights
1482,1998,Marina
3562,2001,Mission
